epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1984.2,0.36306,2.54011,0.30407,0.27787,1.15977,0.97227,1,0.97816,0.89444,0.84089,0.86486,0.76361,0.40179,0.41203,2.67365,0.09076,0.34211,1.29951,0.000236959,0.000236959,0.000236959
54,2016.41,0.36882,2.56319,0.29515,0.26533,1.16979,0.97232,1,0.98447,0.90381,0.84092,0.86486,0.75897,0.45769,0.50146,2.66748,0.09447,0.36769,1.41535,0.000229208,0.000229208,0.000229208
55,2043.52,0.36782,2.51117,0.30777,0.27317,1.17502,0.97368,1,0.98079,0.90709,0.84211,0.86486,0.79975,0.51124,0.60025,2.73218,0.11286,0.38536,1.58331,0.00022148,0.00022148,0.00022148
56,2079.88,0.39107,2.5961,0.30082,0.28422,1.18866,0.97224,1,0.97658,0.89211,0.84086,0.86486,0.7843,0.49499,0.51706,2.55318,0.10784,0.34786,1.42512,0.000213782,0.000213782,0.000213782
57,2106.89,0.37652,2.42455,0.28334,0.27057,1.17343,0.9723,1,0.97605,0.89151,0.84091,0.86486,0.75823,0.45448,0.42516,2.49896,0.08184,0.3107,1.30916,0.000206123,0.000206123,0.000206123
58,2138.2,0.36843,2.43864,0.28557,0.27525,1.17661,0.97233,1,0.98026,0.88976,0.84093,0.86486,0.76597,0.48664,0.55228,2.57401,0.08664,0.37514,1.47002,0.00019851,0.00019851,0.00019851
59,2173.84,0.36579,2.47641,0.29475,0.2731,1.17761,0.97232,1,0.97658,0.90035,0.84093,0.86486,0.76438,0.47817,0.53875,2.56663,0.11676,0.38481,1.42176,0.000190949,0.000190949,0.000190949
60,2215.32,0.35321,2.42683,0.29248,0.2685,1.16587,0.97232,1,0.97605,0.897,0.84093,0.86486,0.75955,0.47807,0.54427,2.54027,0.11357,0.36328,1.44167,0.00018345,0.00018345,0.00018345
61,2255.33,0.36264,2.39409,0.28007,0.26423,1.17024,0.97234,1,0.97526,0.88729,0.84094,0.86486,0.78823,0.50265,0.50625,2.55916,0.10071,0.34714,1.4134,0.000176018,0.000176018,0.000176018
62,2282.74,0.34526,2.51508,0.285,0.25832,1.15922,0.97236,1,0.97368,0.89312,0.84096,0.86486,0.78442,0.48693,0.47006,2.59689,0.07953,0.37732,1.36484,0.000168662,0.000168662,0.000168662
63,2310.77,0.3296,2.31251,0.26894,0.2596,1.15622,0.97235,1,0.97605,0.89217,0.84095,0.86486,0.80701,0.50769,0.51336,2.57894,0.0806,0.3852,1.42565,0.000161389,0.000161389,0.000161389
64,2339.39,0.33233,2.32343,0.28676,0.2465,1.14391,0.97236,1,0.97447,0.88395,0.84096,0.86486,0.79702,0.53088,0.4306,2.51967,0.07849,0.35326,1.35296,0.000154206,0.000154206,0.000154206
65,2381.58,0.34349,2.38388,0.28881,0.24557,1.16565,0.97233,1,0.97816,0.88307,0.84093,0.86486,0.77128,0.50744,0.41685,2.40437,0.06521,0.35557,1.34691,0.00014712,0.00014712,0.00014712
66,2420.55,0.35083,2.35607,0.26972,0.25502,1.1627,0.97235,1,0.97447,0.88816,0.84093,0.86486,0.77765,0.50389,0.4436,2.47919,0.07606,0.34763,1.35146,0.000140137,0.000140137,0.000140137
67,2463.49,0.33547,2.23912,0.27318,0.24929,1.14749,0.97238,1,0.97447,0.89731,0.84098,0.86486,0.79805,0.5046,0.48518,2.54483,0.07502,0.36491,1.38028,0.000133266,0.000133266,0.000133266
68,2503.59,0.3479,2.20997,0.26918,0.2492,1.15667,0.97238,1,0.97605,0.90157,0.84098,0.86486,0.80116,0.54268,0.47609,2.49791,0.08543,0.36146,1.38187,0.000126512,0.000126512,0.000126512
69,2544.64,0.34737,2.22447,0.2614,0.2613,1.1555,0.97237,1,0.97868,0.8958,0.84097,0.86486,0.79547,0.53893,0.48238,2.46553,0.08574,0.2901,1.41749,0.000119883,0.000119883,0.000119883
70,2589.97,0.35943,2.31211,0.27533,0.27672,1.17974,0.97237,1,0.97737,0.89866,0.84097,0.86486,0.81057,0.54234,0.52156,2.49721,0.08692,0.29555,1.47324,0.000113384,0.000113384,0.000113384
71,2630.79,0.32273,2.36839,0.27507,0.23653,1.1364,0.97236,1,0.98026,0.89679,0.84096,0.86486,0.81859,0.54461,0.49,2.44957,0.08447,0.33122,1.42118,0.000107023,0.000107023,0.000107023
72,2662.99,0.33427,2.32544,0.27645,0.24337,1.14945,0.97235,1,0.97316,0.89166,0.84095,0.86486,0.79541,0.54303,0.52483,2.43778,0.0967,0.38033,1.45236,0.000100806,0.000100806,0.000100806
73,2694.63,0.33412,2.29408,0.27462,0.25217,1.15101,0.97235,1,0.97447,0.90004,0.84096,0.86486,0.77764,0.5345,0.46806,2.37771,0.07973,0.36017,1.35062,9.47376e-05,9.47376e-05,9.47376e-05
74,2726.49,0.33,2.2345,0.26977,0.24327,1.14477,0.97232,1,0.97816,0.90448,0.84093,0.86486,0.77867,0.52226,0.40974,2.37825,0.07227,0.3144,1.2829,8.88253e-05,8.88253e-05,8.88253e-05
75,2760.1,0.33993,2.34521,0.26549,0.25138,1.1543,0.97232,1,0.97947,0.90081,0.84093,0.86486,0.77837,0.51328,0.43222,2.38029,0.08014,0.34018,1.31773,8.30746e-05,8.30746e-05,8.30746e-05
76,2800.84,0.33381,2.21097,0.27155,0.23534,1.14823,0.97232,1,0.97947,0.89609,0.84092,0.86486,0.774,0.50586,0.46509,2.3828,0.08062,0.35245,1.35842,7.74911e-05,7.74911e-05,7.74911e-05
77,2854.6,0.33816,2.32504,0.27749,0.24926,1.16528,0.97231,1,0.98026,0.89339,0.84092,0.86486,0.76318,0.51646,0.48187,2.41409,0.07591,0.37005,1.35923,7.20803e-05,7.20803e-05,7.20803e-05
78,2890.62,0.3282,2.04205,0.25637,0.25417,1.14426,0.97234,1,0.97947,0.90363,0.84094,0.86486,0.76179,0.51823,0.43975,2.42479,0.07035,0.31541,1.30267,6.68475e-05,6.68475e-05,6.68475e-05
79,2929.86,0.32416,2.04948,0.2506,0.23456,1.13448,0.97233,1,0.98316,0.90802,0.84093,0.86486,0.76514,0.49526,0.43522,2.42643,0.06482,0.29561,1.30036,6.1798e-05,6.1798e-05,6.1798e-05
80,2974.04,0.30858,2.16899,0.26709,0.24056,1.11906,0.97234,1,0.97816,0.89702,0.84094,0.86486,0.7716,0.49839,0.47097,2.45268,0.07135,0.32548,1.35619,5.69366e-05,5.69366e-05,5.69366e-05
81,3009.75,0.34975,2.09029,0.25242,0.25551,1.15068,0.97233,1,0.97868,0.89228,0.84093,0.86486,0.77452,0.50869,0.47507,2.40986,0.07355,0.33673,1.36438,5.22683e-05,5.22683e-05,5.22683e-05
82,3048.72,0.30941,2.003,0.26282,0.23019,1.12177,0.97233,1,0.97947,0.89788,0.84093,0.86486,0.77716,0.53843,0.42833,2.36139,0.0685,0.35436,1.3049,4.77976e-05,4.77976e-05,4.77976e-05
83,3096.65,0.31179,1.97594,0.26145,0.22552,1.1371,0.97235,1,0.98026,0.89605,0.84093,0.86486,0.77623,0.53032,0.44955,2.38299,0.06522,0.35393,1.33545,4.35288e-05,4.35288e-05,4.35288e-05
